"","site","treatment","rep","nh4.mgL","nh4.normalized","no3.mgL","no3.normalized","totalN.mgL","totalN.normalized"
"1","BH1","AS","1",5.21738782565192,4.34782318804327,20.427004552591,17.0225037938258,25.6443923782429,21.3703269818691
"2","BH1","AS","2",6.39398296593379,5.32831913827816,22.5873780225175,18.8228150187646,28.9813609884513,24.1511341570427
"3","BH1","AS","3",13.068251223225,10.8902093526875,48.583872110633,40.4865600921942,61.652123333858,51.3767694448817
"4","BH1","AS","4",3.89598097579691,3.24665081316409,18.4106559806596,15.3422133172163,22.3066369564565,18.5888641303804
"5","BH1","AS","5",7.45679747726532,6.2139978977211,16.6103447557208,13.8419539631007,24.0671422329862,20.0559518608218
"6","BH1","C","1",13.5207878156411,11.2673231797009,14.3599557245474,11.9666297704562,27.8807435401885,23.2339529501571
"7","BH1","C","2",1.5660640057003,1.30505333808358,1.84779271122309,1.53982725935258,3.41385671692339,2.84488059743616
"8","BH1","C","3",9.64966050794448,8.0413837566204,1.34370556824024,1.1197546402002,10.9933660761847,9.1611383968206
"9","BH1","C","4",7.27836876368411,6.06530730307009,19.5988613891192,16.3323844909326,26.8772301528033,22.3976917940027
"10","BH1","NO3","1",4.02786306844389,3.35655255703657,28.4383895035684,23.6986579196404,32.4662525720123,27.0552104766769
"11","BH1","NO3","2",5.52252678510964,4.60210565425803,29.7886229222725,24.8238524352271,35.3111497073821,29.4259580894851
"12","BH1","NO3","3",8.2118871057539,6.84323925479491,8.92301582523238,7.43584652102698,17.1349029309863,14.2790857758219
"13","BH1","NO3","4",1.20403473176741,1.00336227647285,17.2764599089482,14.3970499241235,18.4804946407156,15.4004122005963
"14","BH1","NO3","5",12.9053380499552,10.7544483749626,7.57278240652832,6.31065200544026,20.4781204564835,17.0651003804029
"15","BH1","S","2",5.33116845460226,4.44264037883522,2.08183317046513,1.73486097538761,7.41300162506739,6.17750135422282
"16","BH1","S","3",2.66508144442511,2.22090120368759,0.479556180269641,0.399630150224701,3.14463762469475,2.6205313539123
"17","BH1","S","5",9.61087165716596,8.00905971430497,2.62192653794675,2.1849387816223,12.2327981951127,10.1939984959273
"18","CC1","AS","1",3.02924807842488,2.5243733986874,21.1782616226557,17.6485513522131,24.2075097010806,20.1729247509005
"19","CC1","AS","2",12.6942358352454,10.5785298627045,42.2627110086339,35.2189258405283,54.9569468438793,45.7974557032327
"20","CC1","AS","3",10.3785068045169,8.64875567043077,26.1505187909184,21.792098992432,36.5290255954353,30.4408546628628
"21","CC1","AS","4",0.708429533343184,0.590357944452654,16.9683017206075,14.1402514338395,17.6767312539506,14.7306093782922
"22","CC1","AS","5",9.13412054514746,7.61176712095622,19.1165940163028,15.9304950135857,28.2507145614503,23.5422621345419
"23","CC1","C","1",1.89706219901036,1.58088516584197,18.8247275623955,15.6872729686629,20.7217897614059,17.2681581345049
"24","CC1","C","2",1.48072853398755,1.23394044498962,17.9965843989237,14.9971536657697,19.4773129329112,16.2310941107594
"25","CC1","C","3",8.25584780330289,6.87987316941908,16.7363665414666,13.9469721178888,24.9922143447694,20.8268452873079
"26","CC1","C","4",5.68543995837944,4.73786663198286,26.6380782786297,22.1983985655247,32.3235182370091,26.9362651975076
"27","CC1","C","5",1.22472211884929,1.02060176570774,20.4810138893392,17.0675115744493,21.7057360081884,18.088113340157
"28","CC1","NO3","1",0.164493530902999,0.137077942419166,8.77899092723728,7.31582577269773,8.94348445814028,7.4529037151169
"29","CC1","NO3","2",1.63588393710164,1.36323661425136,11.3534359788997,9.46119664908307,12.9893199160013,10.8244332633344
"30","CC1","NO3","3",1.0695667157352,0.891305596446002,19.8509049606106,16.5424208005088,20.9204716763458,17.4337263969548
"31","CC1","NO3","4",2.4194187228278,2.01618226902317,29.1585139935439,24.2987616612866,31.5779327163717,26.3149439303098
"32","CC1","S","1",2.6495659041137,2.20797158676142,7.71680730452342,6.43067275376951,10.3663732086371,8.63864434053093
"33","CC1","S","2",6.28537418375392,5.23781181979494,2.33387674195655,1.9448972849638,8.61925092571048,7.18270910475873
"34","CC1","S","3",1.37470567519292,1.14558806266076,0.965640211003104,0.80470017583592,2.34034588619602,1.95028823849668
"35","CC1","S","4",7.76452236010827,6.47043530009022,1.16367444574637,0.969728704788639,8.92819680585463,7.44016400487886
"36","CC1","S","5",1.99791321103452,1.6649276758621,0.749602864010454,0.624669053342045,2.74751607504497,2.28959672920414
"37","MP1","AS","1",1.05706126654076,0.88088438878397,0.769484813549432,0.641237344624527,1.8265460800902,1.5221217334085
"38","MP1","AS","2",6.81330200006576,5.67775166672147,4.26912226298871,3.55760188582392,11.0824242630545,9.23535355254539
"39","MP1","AS","3",12.3685069166374,10.3070890971978,2.60592822761163,2.17160685634302,14.974435144249,12.4786959535409
"40","MP1","AS","4",3.90718930436039,3.25599108696699,6.71193850244879,5.593282085374,10.6191278068092,8.84927317234099
"41","MP1","C","1",0.303813142259863,0.253177618549886,1.04668381944561,0.872236516204676,1.35049696170547,1.12541413475456
"42","MP1","C","2",0.459043330033967,0.38253610836164,0.75215987568092,0.626799896400767,1.21120320571489,1.00933600476241
"43","MP1","C","4",0.466677601563841,0.388898001303201,3.57612474824825,2.98010395687355,4.0428023498121,3.36900195817675
"44","MP1","C","5",1.20211242560837,1.00176035467364,1.77433120992309,1.47860934160257,2.97644363553146,2.48036969627621
"45","MP1","NO3","1",0.423416729561222,0.352847274634352,0.8734344407605,0.727862033967083,1.29685117032172,1.08070930860143
"46","MP1","NO3","2",1.12068019595638,0.933900163296984,0.856109502891989,0.713424585743324,1.97678969884837,1.64732474904031
"47","MP1","NO3","3",1.14612776772263,0.95510647310219,3.28160080448356,2.73466733706964,4.42772857220619,3.68977381017183
"48","MP1","NO3","4",1.17920961101875,0.982674675848957,3.22962599087803,2.69135499239836,4.40883560189678,3.67402966824731
"49","MP1","S","1",2.01643472212826,1.68036226844022,0.422986056179207,0.352488380149339,2.43942077830747,2.03285064858956
"50","MP1","S","3",2.45667771368433,2.04723142807028,0.908084316497523,0.756736930414602,3.36476203018185,2.80396835848488
