obs,id,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,CO2_r:MN,CO2_r:SLP,CO2_r:SD,CO2_r:OK,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,H2O_r:MN,H2O_r:SLP,H2O_r:SD,H2O_r:OK,H2O_s:MN,H2O_s:SLP,H2O_s:SD,H2O_s:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,BH1_C_12,1562851716,0,20190711 09:28:36,9:28:36,1562851708,0.00223328,11.01506873,382.1943674,270.9553246,25.7664611,36.34472332,0.174975245,2.317407921,0.167952984,0.105578054,316.966261,27.29761918,26.31950323,3.438581518,66.73594297,2.211665849,3.314054991,1.226915669,-98.4876341,-77.88516213,-7.181439199,133.4120255,0.018645575,-0.418139776,4.570374295,0,0,1,0,50406,1999.98871,1685.990535,0.843000026,0.188000024,9,0.5,0: Broadleaf,1562851708,382.1943871,399.9966129,23.25746774,19.9855871,600.0235161,94.89488387,0.199985161,25.69610323,26.31950323,999.9,10000.11645,726.3403548,15.96492903,1999.98871,0.899999774,0.100000248,27,41744.35484,0,--:--:--,0,2.702,0.342,0,0,0,0,11.13015805,-1.300538162,0.151717094,-1,399.9976905,0.06585852,0.029690858,1,382.0907619,1.935305081,0.196760286,0,19.98180952,0.071385463,0.007237726,1,23.25615238,0.022590066,0.002344724,1,3,4,4-Mar,100,100,2.702,0.342,3,621.679,345.523,25.2835,25.9494,30.0003,25.8605,25.8273,19.6952,-30,-30,-999.9,400,0,103.417,104.831
2,BH1_C_12,1562851781,64.5,20190711 09:29:40,9:29:40,1562851773,0.002155153,7.22290332,288.2307613,210.4509329,20.0123122,27.40859306,0.165029178,2.317386806,0.158767138,0.099772283,316.9654924,27.42798319,26.43290645,3.461668184,66.25120131,2.209343399,3.334797491,1.252324786,-95.04225375,-78.90367995,-7.283401723,135.736157,0.01864531,-0.418133829,4.570321137,0,0,1,0,50347,1999.984516,1685.986851,0.842999952,0.187999979,9,0.5,0: Broadleaf,1562851773,288.2307742,299.9964839,23.23361613,20.07610645,600.0212903,94.89255161,0.199980968,25.80134839,26.43290645,999.9,10000.22,726.7042581,85.84881613,1999.984516,0.900000097,0.099999852,27,41744.26452,0,--:--:--,0,2.702,0.342,0,0,0,0,7.123820161,1.18410101,0.154584824,-1,299.9915952,0.143978608,0.027631124,1,288.289381,-0.943450288,0.108429251,1,20.07150714,0.083268779,0.00842178,1,23.23760238,-0.08288761,0.008628124,1,4,4,4-Apr,100,100,2.702,0.342,3,621.665,345.01,25.3337,25.9771,30.0001,25.8912,25.8595,15.7444,-30,-30,-999.9,300,0,103.412,104.824
3,BH1_C_12,1562851845,128.5,20190711 09:30:44,9:30:44,1562851837,0.001964888,3.834817713,193.663477,146.6385757,13.9444061,18.4161784,0.146098334,2.316872624,0.14116641,0.08865825,316.9665181,27.53142719,26.50410645,3.476232169,65.57137872,2.192075955,3.343037767,1.284156214,-86.65157505,-82.57698016,-7.628482868,140.1094801,0.018638853,-0.417989014,4.569026683,0,0,1,0,50391,1999.990323,1685.991863,0.843000011,0.188000028,9,0.5,0: Broadleaf,1562851837,193.6634839,199.9862581,23.05174516,20.17246452,600.0230645,94.89371935,0.199990032,25.843,26.50410645,999.9,9996.633548,727.1225806,150.4075484,1999.990323,0.899999645,0.100000355,27,41744.35161,0,--:--:--,0,2.702,0.342,0,0,0,0,3.728325403,1.192852774,0.156366224,-1,199.9786905,0.112804473,0.015804593,1,193.7288095,-0.976374686,0.115156671,1,20.16751429,0.095953326,0.009785766,1,23.06363333,-0.221313022,0.022378824,1,4,4,4-Apr,100,100,2.702,0.342,3,621.518,344.754,25.3797,26.002,30.0003,25.9206,25.8897,11.6259,-30,-30,-999.9,200,0,103.405,104.822
4,BH1_C_12,1562851912,195.5,20190711 09:31:51,9:31:51,1562851904,0.001726051,0.562886964,98.87966029,89.28649241,8.490699252,9.402961579,0.12403969,2.317478516,0.120465922,0.075603713,316.9662479,27.64231489,26.57053548,3.489868465,64.71620522,2.167867897,3.349806883,1.322000569,-76.11883145,-86.63171575,-8.005004388,146.2106963,0.018646462,-0.41815966,4.570552029,0,0,1,0,50393,1999.989032,1685.990758,0.843000002,0.187999991,9,0.5,0: Broadleaf,1562851904,98.87966129,99.97997419,22.79686452,20.26686774,600.0133548,94.89501613,0.199986742,25.87714839,26.57053548,999.9,10000.57806,727.727871,92.21360645,1999.989032,0.900000129,0.099999877,27,41744.36129,0,--:--:--,0,2.702,0.342,0,0,0,0,0.479607206,0.964675736,0.122617037,-1,99.97724048,0.098638036,0.018080825,1,98.93471429,-0.858968965,0.096139729,1,20.26224286,0.087466494,0.0088575,1,22.80826667,-0.206560246,0.020890425,1,4,4,4-Apr,100,100,2.702,0.342,3,621.217,344.211,25.4113,26.0218,30.0001,25.9452,25.9147,7.35836,-30,-30,-999.9,100,0,103.404,104.821
5,BH1_C_12,1562851975,258.5,20190711 09:32:54,9:32:54,1562851967,0.001535265,-0.950957232,51.28941783,64.32589519,6.116742995,4.877105655,0.108165543,2.318189653,0.10543794,0.066138048,316.9684287,27.69305858,26.58565484,3.492978625,64.20664371,2.149469172,3.347736384,1.343509453,-67.70518566,-89.85250133,-8.300262317,151.1104794,0.018655395,-0.418359988,4.572342546,0,0,1,0,50297,2000.002903,1686.002402,0.842999977,0.187999986,9,0.5,0: Broadleaf,1562851967,51.28941613,49.98113548,22.6046,20.35382903,600.0187742,94.88991935,0.199981484,25.86670968,26.58565484,999.9,10005.90645,728.8204839,135.4994194,2000.002903,0.900000097,0.099999881,27,41744.65484,0,--:--:--,0,2.702,0.342,0,0,0,0,-1.034410794,0.969545197,0.125498432,-1,49.97964286,0.045343489,0.016301623,1,51.3434881,-0.873845231,0.095132622,1,20.3492881,0.084159468,0.008509552,1,22.61232857,-0.145365205,0.014722162,1,4,4,4-Apr,100,100,2.702,0.342,3,621.424,343.844,25.4257,26.0305,30,25.9596,25.9287,5.21984,-30,-30,-999.9,50,0,103.409,104.828
6,BH1_C_12,1562852055,338.5,20190711 09:34:14,9:34:14,1562852047,0.001347867,8.630289573,386.2725652,228.4638137,21.724626,36.73066154,0.093458786,2.316718183,0.091413661,0.057313557,316.9676729,27.76256749,26.59196774,3.494277951,63.70575854,2.133696176,3.349298752,1.360581775,-59.44091392,-89.60006114,-8.282789007,159.6439088,0.018636913,-0.417945522,4.568637903,0,0,1,0,50348,2000,1685.999696,0.842999848,0.18799984,9,0.5,0: Broadleaf,1562852047,386.2725806,399.9985484,22.4387,20.46232903,600.0189032,94.89000323,0.200005355,25.8745871,26.59196774,999.9,9995.984839,729.5964516,43.52460645,2000,0.900001613,0.099998268,27,41744.59355,0,--:--:--,0,2.702,0.342,0,0,0,0,8.695445503,-0.781543219,0.098610391,-1,399.9957143,0.026156713,0.036920949,1,386.2205476,0.995520622,0.101874153,1,20.4578119,0.086483429,0.008774292,1,22.44403095,-0.09812657,0.009934416,1,4,4,4-Apr,100,100,2.702,0.342,3,621.288,344.422,25.4291,26.0305,30.0002,25.9664,25.9374,19.7244,-30,-30,-999.9,400,0,103.408,104.83
7,BH1_C_12,1562852115,399,20190711 09:35:15,9:35:15,1562852107,0.001224355,8.053627418,387.1971469,222.3254674,21.13942225,36.81595312,0.08317169,2.317842528,0.08154856,0.051111044,316.9672337,27.86207008,26.67183226,3.51075219,63.23400715,2.125500515,3.361325038,1.385251675,-53.99407744,-92.05969855,-8.512022461,162.4014352,0.018651034,-0.418262197,4.571468517,0,0,1,0,50422,1999.994839,1685.995661,0.843000006,0.188000029,9,0.5,0: Broadleaf,1562852107,387.1971613,399.9883226,22.35410645,20.55868065,600.0178387,94.88323871,0.199985452,25.93511613,26.67183226,999.9,10004.27194,729.7674516,32.85819355,1999.994839,0.899999613,0.100000381,27,41744.44839,0,--:--:--,0,2.702,0.342,0,0,0,0,8.096938366,-0.545288267,0.06546946,-1,399.9873571,0.116071631,0.024338703,1,387.1564048,0.973117251,0.100012156,1,20.55437381,0.097988494,0.009925534,1,22.35811667,-0.086444534,0.00876986,1,4,4,4-Apr,100,100,2.702,0.342,3,620.435,344.103,25.451,26.0398,30.0002,25.9787,25.9492,19.7243,-30,-30,-999.9,400,0,103.407,104.828
8,BH1_C_12,1562852236,519.5,20190711 09:37:15,9:37:15,1562852228,0.00101208,11.25237719,582.2259476,297.738709,28.30777901,55.35566239,0.06668926,2.317144731,0.06564103,0.04111845,316.967609,28.028068,26.8037871,3.538120084,62.5847279,2.115788654,3.380678842,1.422331429,-44.6327162,-96.39699679,-8.925977843,167.0119182,0.01864227,-0.418065648,4.569711699,0,0,1,0,50280,1999.997097,1685.997613,0.84300003,0.188000034,9,0.5,0: Broadleaf,1562852228,582.2259677,599.9878387,22.25367742,20.76939032,600.0197097,94.87590323,0.200007806,26.03212903,26.8037871,999.9,10000.34387,730.0535161,21.94216452,1999.997097,0.899999645,0.100000377,27,41744.50645,0,--:--:--,0,2.702,0.342,0,0,0,0,11.31305324,-0.681298916,0.083153223,-1,599.9929048,-0.089321773,0.029214975,1,582.1660714,1.128851795,0.114710068,0,20.7636,0.106750506,0.01079195,1,22.25420476,-0.013366178,0.001571465,1,3,4,4-Mar,100,100,2.702,0.342,3,621.101,344.017,25.5154,26.081,30,26.0161,25.9873,27.2411,-30,-30,-999.9,600,0,103.404,104.825
9,BH1_C_12,1562852332,615.5,20190711 09:38:51,9:38:51,1562852324,0.000897283,13.59207014,778.5514272,383.2533588,36.43697973,74.01908405,0.057801858,2.31739832,0.0570127,0.035702943,316.966689,28.17979802,26.94610323,3.567845536,62.17515731,2.116289509,3.403754168,1.451556028,-39.57019798,-99.81586968,-9.253461411,168.3271599,0.018645455,-0.418137072,4.570350126,0,0,1,0,50183,1999.992581,1685.993561,0.842999908,0.18799994,9,0.5,0: Broadleaf,1562852324,778.5514516,799.9868387,22.25966774,20.94373871,600.0165161,94.87283226,0.199993323,26.14716452,26.94610323,999.9,10002.37613,730.4624516,28.40272258,1999.992581,0.900000452,0.099999458,27,41744.42581,0,--:--:--,0,2.702,0.342,0,0,0,0,13.66050706,-0.794682805,0.096282071,-1,800.0017619,-0.212287497,0.044542548,1,778.5009762,0.976890041,0.10067167,1,20.93830476,0.103010777,0.010420994,1,22.25913333,0.013177538,0.001539429,1,4,4,4-Apr,100,100,2.702,0.342,3,621.087,343.901,25.5953,26.1325,30.0004,26.0604,26.0326,34.3335,-30,-30,-999.9,800,0,103.392,104.811
10,BH1_C_12,1562852446,729.5,20190711 09:40:45,9:40:45,1562852438,0.000790781,15.09447565,976.1974246,470.3256784,44.71584501,92.81120455,0.050059453,2.317118684,0.049466307,0.030969148,316.9670918,28.32294485,27.06764839,3.593404941,61.8617134,2.119186174,3.425682959,1.474218767,-34.87343201,-101.409658,-9.413193469,171.2708084,0.018641943,-0.418058312,4.569646124,0,0,1,0,50296,1999.994516,1685.995306,0.842999964,0.187999985,9,0.5,0: Broadleaf,1562852438,976.1974516,999.9963871,22.28980968,21.1301129,600.0180323,94.87423226,0.199983484,26.25585484,27.06764839,999.9,10000.34452,730.9992903,17.79681613,1999.994516,0.900000065,0.099999897,27.01614194,41744.48387,0,--:--:--,0,2.702,0.342,0,0,0,0,15.14386348,-0.604341789,0.081774762,-1,999.9974762,-0.148675148,0.046498458,1,976.1440952,0.947728709,0.105788605,1,21.12451667,0.100604165,0.010175576,1,22.28830952,0.024991816,0.002660631,1,4,4,4-Apr,100,100,2.702,0.342,3,620.911,343.958,25.6822,26.1986,30.0003,26.1213,26.0926,41.1081,-30,-30,-999.9,1000,0,103.383,104.803
11,BH1_C_12,1562852538,822,20190711 09:42:18,9:42:18,1562852530,0.00071786,16.20434144,1174.398681,567.9197328,53.99418989,111.6543443,0.044807929,2.317082183,0.044332059,0.02774987,316.9668018,28.45504747,27.18048387,3.617275724,61.61293851,2.124252477,3.447737649,1.493023246,-31.65764775,-101.9242561,-9.47160516,173.9132928,0.018641484,-0.418048032,4.569554233,0,0,1,0,50238,1999.993226,1685.994252,0.842999981,0.18799993,9,0.5,0: Broadleaf,1562852530,1174.39871,1199.969032,22.34323548,21.29053548,600.0180968,94.87361613,0.20001271,26.36455806,27.18048387,999.9,10000.16355,731.3294194,14.60102903,1999.993226,0.900000903,0.099999106,28,41744.45806,0,--:--:--,0,2.702,0.342,0,0,0,0,16.26664783,-0.661864783,0.084013599,-1,1199.978571,-0.189565107,0.050122299,1,1174.340476,0.886678909,0.09822114,1,21.2849,0.103905736,0.010501678,1,22.34097143,0.040495496,0.004152182,1,4,4,4-Apr,100,100,2.702,0.342,3,620.675,343.828,25.761,26.2631,30.0004,26.1803,26.1519,47.63,-30,-30,-999.9,1200,0,103.375,104.795
12,BH1_C_12,1562852608,892.1000001,20190711 09:43:28,9:43:28,1562852600,0.000666548,17.6803679,1472.007388,749.2815059,71.23844895,139.9521039,0.041124204,2.319004501,0.040723312,0.025487763,316.966931,28.54049093,27.27638387,3.637672427,61.48507982,2.128690505,3.462125301,1.508981922,-29.39477462,-105.1734895,-9.773586502,172.6250804,0.018665633,-0.418589584,4.574394472,0,0,1,0,50213,1999.992581,1685.993918,0.843000086,0.188000044,9,0.5,0: Broadleaf,1562852600,1472.007419,1499.999032,22.38943226,21.41201935,600.0146774,94.8757129,0.199967452,26.43514516,27.27638387,999.9,10012.89677,731.3616452,12.34037742,1999.992581,0.899999742,0.100000348,28,41744.41613,0,--:--:--,0,2.702,0.342,0,0,0,0,17.77183225,-1.116215718,0.151168487,-1,1500.004048,-0.219074629,0.07409966,1,1471.947619,0.987926424,0.123554683,1,21.40676429,0.097171704,0.009827726,1,22.38746429,0.036495908,0.003766824,1,4,4,4-Apr,100,100,2.702,0.342,3,620.585,344.143,25.8218,26.3136,30.0004,26.2267,26.198,56.9339,-30,-30,-999.9,1500,0,103.365,104.783
13,BH1_C_12,1562852675,959.1000001,20190711 09:44:35,9:44:35,1562852667,0.000621311,18.69030922,1970.120612,1135.016008,107.915136,187.3152732,0.037950714,2.316609124,0.037608681,0.023535899,316.9667787,28.63301254,27.35977419,3.655490002,61.3215683,2.132570835,3.47768476,1.522919166,-27.39982472,-105.9818089,-9.866751406,173.7183937,0.018635544,-0.417914811,4.568363371,0,0,1,0,50198,1999.991935,1685.993234,0.843000016,0.18800003,9,0.5,0: Broadleaf,1562852667,1970.120645,1999.99129,22.42968065,21.51864516,600.0181935,94.87806129,0.200012677,26.51119355,27.35977419,999.9,9996.508387,731.6794516,8.003012903,1999.991935,0.899999645,0.100000361,28,41744.40645,0,--:--:--,0,2.702,0.342,0,0,0,0,18.86353328,-1.961724693,0.35538168,-1,1999.994286,-0.130726039,0.060754888,1,1970.046429,0.502309221,0.232295188,1,21.51366429,0.091180579,0.009225013,1,22.4279,0.032947003,0.003392499,1,4,4,4-Apr,100,100,2.702,0.342,3,620.539,344.928,25.8782,26.3586,30.0004,26.2703,26.2408,71.328,-30,-30,-999.9,2000,0,103.361,104.776
14,BH1_C_17,1562853446,1730.2,20190711 09:57:26,9:57:26,1562853438,0.000295587,1.08194898,398.2027723,290.4001139,27.6070367,37.85535206,0.01763226,2.317508663,0.01755807,0.010980433,316.9678379,28.67807549,27.56840645,3.700401419,62.01788063,2.149230455,3.465501293,1.551170964,-13.03537507,-139.5266367,-12.99438807,151.411438,0.018646841,-0.418168152,4.57062793,14,2,1,0,50277,1999.998065,1685.998363,0.842999997,0.188000086,9,0.5,0: Broadleaf,1562853438,398.2027742,400.0021935,22.6078871,22.17454516,600.0197742,94.86553226,0.199983839,26.45167097,27.56840645,999.9,10003.88935,732.5139355,5.485797742,1999.998065,0.899998774,0.100001181,28,41744.50968,1562853150,9:52:30,1,2.737,0.282,400,22,0.72,0.18,1.13925367,-0.678930684,0.08099791,-1,399.9957381,0.03406207,0.028453855,1,398.1459048,0.974993923,0.099539609,1,22.17322857,0.025046269,0.002561927,1,22.61294048,-0.092692975,0.009368312,1,4,4,4-Apr,100,100,2.737,0.282,3,601.078,339.6,25.898,26.2836,29.9999,26.2532,26.2229,19.7897,-30,-30,-999.9,400,0,103.374,104.816
15,BH1_C_17,1562853512,1796.2,20190711 09:58:32,9:58:32,1562853504,0.000227964,0.100858267,299.738903,279.8498248,26.60265884,28.49332418,0.01346526,2.316753958,0.013421932,0.008392589,316.9676749,28.72329495,27.60009032,3.70726382,61.73772695,2.142393691,3.470153173,1.564870129,-10.05319732,-140.5972488,-13.10192758,153.2153013,0.018637363,-0.417955596,4.56872796,14,2,1,0,50233,1999.99871,1685.999042,0.843000065,0.187999914,9,0.5,0: Broadleaf,1562853504,299.7389032,299.9926774,22.53716452,22.20293548,600.0179032,94.86049032,0.19999029,26.47441935,27.60009032,999.9,9999.335806,732.5418387,5.132836129,1999.99871,0.900001484,0.099998642,28,41744.56774,1562853150,9:52:30,1,2.737,0.282,400,22,0.72,0.18,0.008770376,1.053554843,0.135849412,-1,299.9879762,0.125484158,0.026318098,1,299.7967381,-0.8880739,0.102462086,1,22.20197619,0.017438457,0.001825587,1,22.53962143,-0.047038328,0.004798489,1,4,4,4-Apr,100,100,2.737,0.282,3,600.973,339.296,25.9011,26.2587,30,26.2283,26.1982,15.8137,-30,-30,-999.9,300,0,103.377,104.821
16,BH1_C_17,1562853579,1863.2,20190711 09:59:39,9:59:39,1562853571,0.00018545,-0.3925693,200.5143555,251.9036637,23.9453803,19.06043139,0.010940996,2.316899949,0.010912373,0.006822799,316.9678794,28.70749589,27.58302581,3.703566442,61.71100281,2.137748704,3.464128934,1.565817738,-8.17833306,-142.1549765,-13.24317384,153.391396,0.018639196,-0.41799671,4.569095472,14,2,1,0,50260,2000,1686.00013,0.843000065,0.187999914,9,0.5,0: Broadleaf,1562853571,200.5143548,199.9812903,22.48896129,22.21704839,600.012871,94.85770645,0.199983258,26.44495484,27.58302581,999.9,10000.6129,732.5038065,5.076025806,2000,0.900001484,0.099998642,28,41744.59355,1562853150,9:52:30,1,2.737,0.282,400,22,0.72,0.18,-0.484884423,1.072920067,0.138727769,-1,199.9767381,0.092209707,0.018733799,1,200.5735952,-0.937528563,0.106174174,1,22.2163,0.01527202,0.00161717,1,22.49017143,-0.022873997,0.00235971,1,4,4,4-Apr,100,100,2.737,0.282,3,601.146,338.928,25.8923,26.2316,29.9999,26.203,26.1729,11.6683,-30,-30,-999.9,200,0,103.381,104.828
17,BH1_C_17,1562853649,1932.7,20190711 10:00:48,10:00:48,1562853641,0.000161845,-0.59165705,100.8384527,196.2183553,18.65134467,9.585100915,0.009540465,2.316502416,0.009518689,0.005951133,316.9680601,28.72198148,27.58013548,3.702940513,61.64821617,2.136394123,3.465459759,1.56654639,-7.137356477,-140.9562423,-13.13399022,155.7404711,0.018634204,-0.417884762,4.56809476,14,2,1,0,50322,2000.000323,1686.000257,0.842999993,0.188000007,9,0.5,0: Broadleaf,1562853641,100.8384516,99.97547419,22.47557742,22.23827419,600.0193871,94.8540129,0.200013226,26.45146774,27.58013548,999.9,9998.323871,732.4600323,4.794733226,2000.000323,0.899999871,0.100000116,28,41744.55806,1562853150,9:52:30,1,2.737,0.282,400,22,0.72,0.18,-0.663364785,0.838797733,0.10544871,-1,99.98017381,-0.040861868,0.011239854,1,100.8944286,-0.90839461,0.097391977,1,22.23690952,0.025168047,0.002559186,1,22.47561429,0.002543583,0.000927765,1,4,4,4-Apr,100,100,2.737,0.282,3,600.95,338.579,25.8857,26.2053,30,26.1768,26.1466,7.3741,-30,-30,-999.9,100,0,103.384,104.833
18,BH1_C_17,1562853713,1996.7,20190711 10:01:52,10:01:52,1562853705,0.000150113,-0.69334677,51.01169157,173.9593693,16.53508053,4.848732387,0.008819186,2.315820694,0.00880057,0.005502026,316.967653,28.73584834,27.60527419,3.708387649,61.62935537,2.136935319,3.467398459,1.571452331,-6.619962374,-142.8692753,-13.31846771,154.1599477,0.018625645,-0.417692818,4.566378829,14,2,1,0,50159,1999.997097,1685.997599,0.843000023,0.188000062,9,0.5,0: Broadleaf,1562853705,51.01169032,49.9831871,22.48189355,22.26179355,600.0179032,94.8513871,0.200006774,26.46095161,27.60527419,999.9,9994.008065,732.2491935,4.591029032,1999.997097,0.899999226,0.100000774,28,41744.52903,1562853150,9:52:30,1,2.737,0.282,400,22,0.72,0.18,-0.770156805,0.900935306,0.114656914,-1,49.98528095,-0.012529464,0.007669551,1,51.06784762,-0.918472519,0.099631985,1,22.26004048,0.033682716,0.003453298,1,22.4812619,0.013922708,0.001502213,1,4,4,4-Apr,100,100,2.737,0.282,3,600.926,338.278,25.8842,26.1882,29.9999,26.1576,26.1284,5.21918,-30,-30,-999.9,50,0,103.384,104.837
19,BH1_C_17,1562853790,2074.2,20190711 10:03:10,10:03:10,1562853782,0.000144756,0.228079667,399.5819673,346.5519599,32.9384078,37.97870251,0.008525795,2.317169123,0.008508405,0.005319313,316.9674796,28.73418014,27.5945,3.706052207,61.68905848,2.1387292,3.466950628,1.567323007,-6.383721244,-141.8801387,-13.21770484,155.4859148,0.018642576,-0.418072517,4.569773104,14,2,1,0,50261,1999.997742,1685.998034,0.842999969,0.187999911,9,0.5,0: Broadleaf,1562853782,399.5819677,400.0108387,22.50202258,22.28978065,600.0155484,94.84609677,0.199990419,26.45876129,27.5945,999.9,10003.65097,731.8668387,4.353510968,1999.997742,0.900001129,0.099998874,28,41744.54194,1562853150,9:52:30,1,2.737,0.282,400,22,0.72,0.18,0.314861752,-0.999086845,0.12642832,-1,400.018119,-0.14966913,0.035482526,1,399.5262143,0.895901599,0.09978251,1,22.28956667,0.006528173,0.001029023,1,22.50178571,0.002579385,0.000865633,1,4,4,4-Apr,100,100,2.737,0.282,3,600.9,338.722,25.8783,26.1647,29.9999,26.1331,26.1035,19.8078,-30,-30,-999.9,400,0,103.388,104.846
20,BH1_C_17,1562853851,2134.7,20190711 10:04:10,10:04:10,1562853843,0.000140346,0.142938013,399.723032,361.6583801,34.37310914,37.99088909,0.008268033,2.317204214,0.008251678,0.005158766,316.967731,28.73893619,27.59747742,3.706697472,61.71066962,2.139903379,3.467639214,1.566794093,-6.189280081,-141.8335262,-13.21358141,155.7313433,0.018643017,-0.418082401,4.569861448,14,2,1,0,50319,1999.997742,1685.998105,0.843000004,0.188000052,9,0.5,0: Broadleaf,1562853843,399.7230323,400.0215806,22.5151,22.30932581,600.0165161,94.84304194,0.199990484,26.46212903,27.59747742,999.9,10004.20968,731.6322903,4.506190323,1999.997742,0.89999929,0.10000069,28,41744.54194,1562853150,9:52:30,1,2.737,0.282,400,22,0.72,0.18,0.142068698,-0.05428015,0.019048091,-1,400.0130714,0.089053457,0.017509715,1,399.7168095,0.191757786,0.029598293,1,22.3081,0.025799796,0.002756378,1,22.5139881,0.023289087,0.002456207,1,4,4,4-Apr,100,100,2.737,0.282,3,601.139,338.517,25.8741,26.149,30,26.1152,26.0854,19.8037,-30,-30,-999.9,400,0,103.386,104.846
21,BH1_C_17,1562853925,2208.7,20190711 10:05:24,10:05:24,1562853917,0.000136763,0.743290425,598.7906116,437.3144549,41.56054057,56.90656055,0.008080368,2.316172518,0.00806474,0.005041864,316.9680815,28.72985971,27.58399032,3.703775339,61.80349937,2.141708987,3.465352301,1.562066351,-6.031246925,-141.4831774,-13.18518638,156.2684708,0.018630062,-0.417791872,4.567264362,14,2,1,0,50153,2000,1685.999895,0.842999948,0.18800006,9,0.5,0: Broadleaf,1562853917,598.7906129,600.0283548,22.53580645,22.33529032,600.0156452,94.83582258,0.20000371,26.45094194,27.58399032,999.9,9998.01871,731.7809355,4.532437097,2000,0.899998935,0.100000968,28,41744.56129,1562853150,9:52:30,1,2.737,0.282,400,22,0.72,0.18,0.809550984,-0.775582886,0.093625935,-1,600.0230238,0.028814575,0.024779492,1,598.7335238,0.990564474,0.101744834,1,22.33437143,0.015446851,0.001633618,1,22.53458095,0.022604844,0.002317145,1,4,4,4-Apr,100,100,2.737,0.282,3,601.129,338.604,25.8696,26.127,30,26.0922,26.0614,27.3478,-30,-30,-999.9,600,0,103.39,104.852
22,BH1_C_17,1562853996,2280.3,20190711 10:06:36,10:06:36,1562853988,0.000134568,1.282330904,797.9294493,522.731975,49.67652535,75.82922877,0.007985179,2.316962308,0.007969922,0.00498257,316.9685776,28.69591763,27.55127742,3.696696065,61.91876319,2.14140345,3.458407985,1.555292615,-5.934467103,-141.6934044,-13.19587391,156.1448322,0.018639979,-0.418014271,4.569252456,14,2,1,0,50162,2000.002581,1686.002199,0.843000012,0.188000097,9,0.5,0: Broadleaf,1562853988,797.9294516,800.0139677,22.53338065,22.33608065,600.0127742,94.83250968,0.19998829,26.41693226,27.55127742,999.9,10003.69032,731.7944194,4.536753226,2000.002581,0.899998677,0.10000129,28,41744.59677,1562853150,9:52:30,1,2.737,0.282,400,22,0.72,0.18,1.35747632,-0.951786872,0.124386837,-1,799.9994048,-0.024849278,0.059981767,1,797.8659762,0.909162432,0.110326893,1,22.33608095,0.000197981,0.000662692,1,22.53376667,-0.005384894,0.000791222,1,4,4,4-Apr,100,100,2.737,0.282,3,601.117,338.858,25.8526,26.0992,30,26.0656,26.0352,34.4578,-30,-30,-999.9,800,0,103.393,104.857
